Post,Reacts_Count,Most_Reacts,Image,Group
"لكل من تصله هذه الرسالة:
فرَّج الله همك، وقضى دينك، وأسعدك في الدنيا والآخرة ""
""","1,3 K",Haha ,https://www.facebook.com/photo/?fbid=811166413907473&set=a.574614667562650&__cft__[0]=AZUHfRuZte0wFWf_rHgWG-L5uYyZF8rYklnqN_I5bLKbGVqUm36ME-EQNSuMNKheFgen6k8-bNBzLB3qj3J8DoDpl0Tt__PAF4m7BALApv6Qb9fcAUwuWDu-D5CNxHGEbmelMIC9mNNBVfUj-8maR6M-WF-xGCCASEWcpj3b2duRzH9iDe3eGJ9MUu5HvvtIvOk&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
الڨعدة مع اولاد خواتك تعلمك برشا حاجات... و أهمها إنك ماتعرسش.,"1,2 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"محلاه العبد اللي مايوصلش روحو و نفسو عزيزة.... محلاه كي تخلي ملايكتك خفيف باش ديما يتفكرك كان بالباهي…مش لازم تفسدها و توصل روحك باش تسمع كلام ماتحبوش.. عز نفسك تصيبها 
وفات لهنا ",606,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"راهو العباد الكل مش كيف كيف و صوابع اليدين مش قد قد فما عباد عندهم دنيا عاملينها لرواحهم و معادش يحبو يدخلو في حكايات فارغة …يمكن زادة تعلمو و فهمو و معادش عندهم ثيقة في الناس ...وفات لهنا 
د.محمد سالم عبد الكافي",384,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"الدنيا عمرها ماكانت سباق..شكون يخدم الاول وشكون يسافر الاول وشكون يعرس الاول وشكون يجيب صغار الاول وشكون يعمل دار وكرهبة الاول وشكون ينجح..كل واحد والrythme متاعو كل إنسان وكيفاش تكون حياتو ومراحلها والفرص الي تجيه والاختيارات والتضحيات الي لازم يعملها والمصاعب الي باش يواجهها..اهم حاجة في هذا الكل انك تكون فرحان ومقتنع بحياتك ومستمتع بكل مرحلة فيها
 ربي خلق لكل واحد ثنية ودنيا وحياة مختلفة متقارن روحك بحد..وماتخلي حد يقنعك الي فات الفوت على حاجة تحب تعملها..مادامك تتنفس مافا… En voir plus",914,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
خلّووو الناس على راحتهم و تقبلو فكرة إنو ساعات يكووون ماعندهمش رغبة و لا جهد باش يحكيو و لا باش يتكلمو في العموميات.... احترمو عالمهم الخاص مادام هوما راضين …و ممكن زادة كان اختيار منهم و مرتاحين فيه سيبوهم على راحتهم احترمو خصوصياتهم و مش لازم تمرجوهم و تحبو بالسيف تعرفو تفاصيل حياتهم ...وفات لهنا ,663,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
محلاها كي يبدى عندك فضايح صحابك في تاليفونك,397,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
لم الدنيا تبقا جايه عليك بس انت فرفوش,"1,2 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
الدروج هذا يعرفوه كان الجماعة السليباتار ,"3,7 K",Haha ,https://www.facebook.com/photo/?fbid=811092633914851&set=a.574614667562650&__cft__[0]=AZU6lmnCEoIenL_mxIAFj3J6dA0CYRyPtEZR5Xk2HoOiqYlkgfBpoXijmwuLR0FdhN4GipXtOr4ypnfGu1l-KzHyV95TEPz4iaMZslJ07Z-8-vJgrHLMjhvtiR_m0BlL2WOPgfOnKu1smGhXxzy9rp2FsCjH40kMaY5-9zYXXGtrGKCPf5RaF4c52PnguL4Ds4o&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
اعطيني فرصة راني تبدلت ,569,Haha ,https://www.facebook.com/photo/?fbid=811025220588259&set=a.574614667562650&__cft__[0]=AZX9itVYNZ4yDmNf5-CIy8dF3UQSUnJF_2mKHyhKbFn9ZTprPqOsa73sA6wULNwy-DT_hRVzorctkAnD596lQ2VOt3z33GurvGMv0rbzXQLqHIQVL99vHDzyzpuZT2EHwRZQEVgtwe1-KELx-ci397Xlf8qzcI1fXcIgfFT8ztN_BJFFBHrmUMUhXDVR3qG7jSY&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
كي نشد صاحبتها لي تعمر فيها عليا فالبحر,"1,3 K",Haha ,https://www.facebook.com/photo/?fbid=811021117255336&set=a.574614667562650&__cft__[0]=AZVR8IhlnklxHGchwTNRMiV005MVAvlnqSiivl1xwsvrksE67W5lXuSgKdac0a6HnB9Oo-We733hotC-Se15N2ZyAAb1ILNv-vi4_8nBEusDKL599-8ECrf5LNHjWt9Ufwlp4qa_BxDSzpK7bavXZxh3EPlf6SBSh0Gd-EAd4PCwKT_V2Ihg-eTkPsI0kuKHXe0&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
و في ليلة الجمعة اللهم معجزة تغير الاقدار,560,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
قد لا ينام احدهم ليلا,733,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
تخيلي حماتك تقولك   انتي موش  المرأة اللي تمنيتها لولدي اش تردي,231,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
كي نبدل دبشي ونستنى appel من المغط صاحبي باش نخرج,"1,2 K",Haha ,https://www.facebook.com/photo/?fbid=810681493955965&set=a.574614667562650&__cft__[0]=AZV5vEibbrtwWreLL2p934cqMfnu4IOWFCExw72OVOSlYOGERQsB0vvZHF6eq7kirso8ICERIp1xCj45rnP4FbC200ZnjVx6h4iQNp3NRT6Un62o0FbDvUBpEahRg32C3CBTDgdmUO1K4UIBAsQ8y7o6o0So0lrQB4kINIWssCJ_D0mPwneKTY4ImzlI8WGaQvM&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
Yala jme3et lbac courage a3mloulna sahreya edes edes raaw saaaar feya mel fadaa,237,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"قلي واش تريدي 
Beji Mohamed  ",485,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"قصة نجاح أنس جابر وراءها رجل عظيم إسمو كريم كمون
عطاها حبو و عشقو قبل كفاءتو.... خدمتو معاها موش واجب و وظيفة كهو.... هي قصة حب و شغف و إخلاص وصلتها للعالمية و النجاح على مستوى العالم ....
خلاصة القول حبو بعظكم و اخطاوكم من العقلية الشرقية
راو كي تنجح المرا الي تحبها هذاكا نجاح ليك انت 
 !","1,8 K",J’adore ,https://www.facebook.com/photo/?fbid=810637370627044&set=a.574614667562650&__cft__[0]=AZWCmHye1QPqwmZK2fTylk_xDDjMPdEAHuUerxLyza7JHW60pALtb_CrW27i8dR2GgEDrrjGyNZMDxAdjI5hTWAxXrU92hHgYLkJWBsDC4YP1EeJbkD-AHcEapzUig7Gqg0UGXF7VD-v9wKFMvWZ_15JWn2vttVzbfYbZMQ7uv64wBuXq0SvTB25i3C3IgrUkZk&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"مرتو تدور بيه من بلاد لبلاد
نعرف شكون مرتو تدور بيه من محكمة لمحكمة ..","1,5 K",Haha ,https://www.facebook.com/photo/?fbid=810626863961428&set=a.574614667562650&__cft__[0]=AZUmOWSJ44gBfOL1XEKKbn9Hp-jDL_FoLvXrRQ3DDMgN7k9M1BjwyIJOFMgaNzNqPP8p1hjIKCPz3z_WrsLgs0UuHrlpWdEw-CKp1VKQrNB8oxSaJNknFOZh3Fx_E9-neSUAovWRhJJPeyIVG44S4cZCVSsQI-FbOaynI3DMgHEB__zHB5w4VZfRv1oM6EsjACU&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
مبروك اللى نجحو الكل واللى ما نجحش موش مشكلة فيها خيرة انت عملت اللى نجمت تعملو والباقي على ربى …ولذا مهياش نهاية العالم مصارش نجاح السنة يصير عام جاى والدنيا ماتقفش وإنشاء الله ديما القدام…ورد بالك تتغشش من حاجة انت عملت اللى عليك وأكثر…ربى سبحانو عالم بينا واللى كاتبو ربي يصير…وفات لهنا ,153,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
فما تفاصيل صغيرة تحس بيها من الطرف الثانى يا تقربك وتكون علاقة موش نورمال يا تبعدك و توضحلك برشا حاجات…,407,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"أبسط الحاجات تنجم تعملهم للأنسان اللى تحبو إنك ما تخليهش يندم نهار تعرف عليك…
وفات لهنا ",372,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
مبروووووك الترشح لفخر تونس و العرب و العاقبة للفوز بالنهائي ,915,J’adore ,https://www.facebook.com/photo/?fbid=810557283968386&set=a.574614667562650&__cft__[0]=AZXUSvA_KIcFRRgoJrM0CJ6nkxiwySEUhs9J7sUZTojnrEFhbsu5hTAB1o75xmVSDNEVMIgGrpHsmnNlLoe2UyYjS84_VFs5LXcAzrFBH_j9EilQHMYA8HDG_4DPrR0pIUUhpMjTMSrzbu1cOJ1_Dr9J0ZkuIwUddhKsdNcNnUVN9h7JjNPvMpceKHsuHOOX6Mk&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
كي تفيق و تلقى 0 ميساج معناتها عندك هيبة و موش اللي يجي ينجم يحكي معاك ... ,712,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
كي نحكي للناس على حاجة مفرحتني ,385,Haha ,https://www.facebook.com/photo/?fbid=810496950641086&set=a.574614667562650&__cft__[0]=AZXbY0dxd39fnZ1rwt7TgWrmJgwP-9ALilAJkY1PDgsSYPKwyg7WqzzRMbo7qLILpjXjTjF4vGsfz4GXXLmWpz0mH_0vQPEdn6CGXIYPZkbeK_E9kUX97tORlAVgGbgYAUfcb-aaTlwiaY25AopX77cEVCb6n2sUC266IMW8tM1Yij7TMElVV3jL1U-DWpEn9qE&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
ماتحكيليش على الفجعة و انتي صحابك عمرهم ما سرقولك تلفونك وخباوه وكل واحد يحلف بلي ما عندوش ..,618,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
صبر ونال ..خذا مرا بدارها,10 K,Haha ,https://www.facebook.com/photo/?fbid=810182000672581&set=a.574614667562650&__cft__[0]=AZWitIZUWuyiWEQqCAhVjutkTGxIKaNiZnFKcz8AkafVNIA7iGa4rx0sEj4plDc6SFDZAQobP5cc2prJ_0W3J4C7xenXFDtB0wm4aL066djGxNeanXh0fYG9gi5ABEo_rD27xXVtMs4hcW1a7F7AqFWAltr9HwJNRXAt7WrfPU6Tq3aRcSgrOt4ctIy0iAEPGE4&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
بلاهي أكا البحر مازال مالح,567,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
كي تدخل تنسنس و يطيح فيك ربي :,826,Haha ,https://www.facebook.com/photo/?fbid=810171914006923&set=a.574614667562650&__cft__[0]=AZV-s4I5vvOjSYa19sD7XA6XXbmWvXDk4Ej1XJSCeWcq7NhmNjG_rnh3J7Cs7TwhEpaRLh2MNMzdPwyiHKw9MkGPFte7cUz6sl7juYr0P0WWtxeLw4pBu6YQKJtIPd_6a4wlBq8i6r9ibGRKsA_oWV5Xf0KTmrEg2C20eqMf9do0_AX3Su0Mv2QNXmNdiPyIWeE&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
Mood:,"1,1 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
كراشات الأعراس ما يتعوضوش والله,628,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"وكان ما قربتلهمش كنت باش يمشي في بالك إنْهم بنفس ""الصّورة الملائكيّة"" إللّي رسمتها ناحيتهم...
وكان ما جرّبتش كنت باش يمشي في بالك إنّو فرصة باهية فاتتك...
وكان ما تصدمتش كنت باش تبقى فاهم الدّنيا على إنْها ورديّة...!",534,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"وقت تحب تعمل حاجة مشومة وتطغى على العباد تفكر ديما قول ربى تعالى : ولا تحسبن الله غافلا عما يعمل الظالمون إنما يؤخرهم ليوم تشخص فيه الأبصار…ولذا حط ربى فى بالك اليوم واسعة وغدوة ضيقة تهنى ما عندك وين ماشى لازم باش يجيك نهار وربى ياخو حق كل مظلوم…والموت الهارب منها جاينها ما عندنا وين هاربين …الموت الذى تفرون منه فانه ملاقيكم …يا ظالم راجع روحك وحاسب روحك …
وفات لهنا 
د.محمد سالم عبد الكافي",564,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
تو هذي حياة باش الواحد يزيدلها شريك…,738,Haha ,https://www.facebook.com/photo/?fbid=809987884025326&set=a.574614667562650&__cft__[0]=AZVOHMNrHwf47GDbCA8KVkpgoTv3X-HGVqqxZHTNd8PU6k0tUymAogJCbKRxQ_ETcZ_nQsDq2yYY7wL0bM6yWbJlrcJBRpQZTrbOFfUvasgm-0LNhgh8-C1qBSrPry2BqMQo_iJKbPv1EL-XG066gL04WtfYa5nsmDjcTXqgkW9UdCr6FJUIMItpxXpjn_1o-q0&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
زينة ,"1,1 K",J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"الليلة باش نرقد بكري و معادش باش نسهر 
انا مرة اخرة:","2,5 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"يزيك من تخمام وانت هايم سارح والله اللى يعملو ربى صلاح اسمو النواب قادر يبدلك الأحوال من حال الى احسن حال بأسهل ما يكون …ولذا توكل على الله وبأذن الله ما يخليهاش بيك …ونعمة بالله 
د.محمد سالم عبد الكافي",715,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
،  هذا هو الحل غدوا يا جماعة  ,"1,1 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
عندي صاحبتي كل ما نحكيلها حكاية في عوض ما تستر عليا تلقى فيديو على نفس الحكاية تمركيني,768,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
أنا و صحابي في صيف تفاهمنا باش نتفرهدو تفرهيدة ما صارتش و الحمد لله كنا عند كلمتنا و ما صارتش برسمي,531,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
خمم فى كل شىء إلا موضوع هذا…,85,J’aime ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"لا آذاكا عزّ الناس impossible يعملها معايا..
أنا بعد مدة:","1,4 K",Haha ,https://www.facebook.com/photo/?fbid=809631004061014&set=a.574614667562650&__cft__[0]=AZVTBn1K9BxEhGRiORDcWsXoyVnaHwGLGAZ9_gIymEGV7S6a3Zm7mL18gRwMvHkgM1aN7baxxcShQSuNtk90vxBA7yyAFuVnoTZAx4UgNkxk38munwXYia2sZRofNa0BnvgkKk5hjp4Lpl3NfpAhQhqsC2OAT5ZBT9YAouT9n4e03pc0AHJuWKoIp1m-88NbTNM&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
حبيباتي ربي يحفضهم,312,Haha ,https://www.facebook.com/photo/?fbid=809629904061124&set=a.574614667562650&__cft__[0]=AZUByyBDNqxpVe3yBO9mWi10cMFTwAX-hmEHjt_mrPwEeRyChkW-Tz7NtOPGF50Lm8DUOQRqUPG03Br_WcElc7cy8IoLK4jYt56cW9IZi5De06ShSRrOF5whEDqpBr-yjR9IwKZ9qFIjZXp2B0lLSH-I-tKoa9Hjq50GtgarniSx3BtqalzfHHKmnObfNDOz_YA&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
شكرا لعروض الارتباط المغرية أما سامحوني راني مسحور,751,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"يا بابا يهديك ايجا نفسرلك 
راهي تقديرية ",668,Haha ,https://www.facebook.com/photo/?fbid=809602470730534&set=a.574614667562650&__cft__[0]=AZWamCRzvGGPCpOclBmXNYoC2q2YqpnAsj_7sdT0jOaIN-ITv34A1v0puABdoHT3Z7vg4j27T2yyb9PkEHvZu-6GT3ocmEPlSqU_gFlIBU-hDGxVlU7pOxGj_k9pE7G9pLGm4NMxGjhcTbBb3wrIRIjCzki_ECKqtcM1NobLOP9Je4x35chNe4GWxH2uNljva6g&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
فمّا عباد فيبالها كي ما تهبّط شيْ في الfacebook بش ياخذو master في النّضج..,"1,1 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"إلي تقلو الطقس سخون يقلك مالا نهار آخر كيفاش ..
شعب عارف روحو وين قاصد ربي",861,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
قالك لعشية السخانة باش طيح 43 انشاء الله لواحد ميستبردش واكهو,615,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
ذايبة لعباد…,458,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"وليت نرقد اربعة مرات فالنهار 
قيلولة وهيلولة وليلولة وغيبوبة",885,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"اللهُم هون حر شمسك على العمال و أصحاب الرزق القاصدين بابك الكريم يا رب العالمين
 ","1,5 K",J’adore ,https://www.facebook.com/photo/?fbid=808886880802093&set=a.574614667562650&__cft__[0]=AZUr8yi8enxwq2LcI5g2tcpQVTGPzHhW-k15U4wQAJWpn2X_0o5TrYbCxmM_4fuPZypZNEi_MXp2axFT8rboBRK599CCG0LqbPuCNf4nUkRWoQ02xBad1iE2uwdV2veLN6Wpiu8JtAz_Lc563jiClIlT5laElAHkpuA8CIsObXDeWHObEsPfkkmZxmlF0YBk0_A&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"محلاك وقت انت تاعبة ويعلم بيك كان ربى وتضحك وتتقوى على روحك باش ما تظهرش وجيعتك …محلاك وانت تحب الخير للناس الكل بالرغم الحقد اللى عندهم وما يحبولكش الخير…محلاك بالغصة اللى فى قلبك والقهرة لكبيرة ويقصدوك تقوم بالواجب …محلاك فى كل احوالك بتعبك بفرحتك بوجيعتك ديما انت هيا هيا ما تتبدلش وتكون موش كيفهم …
وفات لهنا 
د.محمد سالم عبد الكافي","1,1 K",J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
الدنيا ما تاقف على حد…,194,J’aime ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"صيف السنا ان شاء الله 
أنا ",637,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
إلي قال الشتاء فصل الإكتئاب يجي يلم علينا السعادة إلي قاعدة ترشرش علينا تو…,630,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
الكليماتيزور معادش ينفخ ولّى يتنهّد و يتمتم…,679,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
وانا فى الدار…,711,Haha ,https://www.facebook.com/photo/?fbid=808419947515453&set=a.574614667562650&__cft__[0]=AZXCIBA457IcEfFRDA3HIz1g6q--mI1EYQlbovlyBaJrjmv3JYIBAslqK2CDTAKUge_Ae0f7DXjxX6jmo54jNNNjipqbGLj0Ri0c3zbxkp63ru60LV5K0l8xdyetLV_fEV5r2ub1XYyfirq57DYxC2ai6YwdFKJqSxOJfdbpy1Tnj5pWwVUO6Ow3d1rSvu7Z5Xc&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
قريب يقنعني نبيع ال climatiseur و نشري مروحة ..,"3,6 K",Haha ,https://www.facebook.com/photo/?fbid=808321767525271&set=a.574614667562650&__cft__[0]=AZUnZtxysU5z6ZXJ4moIvQ7I27Ug5aEiavvojwfT1HqXul6RZ7Zc3ElZcq9kznHnXB5DwDFQoS_yllxwxWMvEHDvW_eVA7j-C_RpyBMAty1n1TSRjxdk9cYSQzezhJMrQGx6teU2G1O3fbOpdAd2DkAa3okhsmuDxiuJMarBIihDwbiWesEhdXyE_DvZoNYWKjc&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
ههههه هاني بس نعمل تحريشه,443,Haha ,https://www.facebook.com/photo/?fbid=808151324208982&set=a.574614667562650&__cft__[0]=AZXupxAVENfEc1xupYCtdfh7segXX7eCk8vqkN2SKA7bL1fJPxLDl_YIwt3_Ohan0vwBeVXUIhHINKzz7pRZEyUBlWXMghJk48bovRaZA8ssHTAHuWBKYSpDWFpxoU4VMcI--oVGiQRgBCiR1GfLRyFypM6T_oMg37Gp0QHf718FCgjXQOutwcPkOCk6AgSbg8I&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"Ya lile 
Follow us on instagram :
https://instagram.com/tunisian_artists_27...",1 K,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
